	algo	method	arg	n_gram	homogeneity_score	ami	cumulative
45	kmeans	lda	abstract	1_3	0.118	0.036	2.079
46	hdbscan	lda	abstract	1_4	0.074	0.044	6.465
47	kmeans	lda	abstract	1_4	0.305	0.227	6.465
48	hdbscan	lsa	title_abstract	1_1	0.669	0.646	-9.847
49	kmeans	lsa	title_abstract	1_1	0.82	0.763	-9.847
50	hdbscan	lsa	title_abstract	1_2	0.902	0.862	-9.353
51	kmeans	lsa	title_abstract	1_2	0.897	0.824	-9.353
52	hdbscan	lsa	title_abstract	1_3	0.94	0.851	-9.102
53	kmeans	lsa	title_abstract	1_3	0.889	0.823	-9.102
54	hdbscan	lsa	title_abstract	1_4	0.94	0.851	-9.055
55	kmeans	lsa	title_abstract	1_4	0.894	0.824	-9.055
56	hdbscan	tfidf	title_abstract	1_1	0.432	0.412	-1.804
57	kmeans	tfidf	title_abstract	1_1	0.914	0.906	-1.804
58	hdbscan	tfidf	title_abstract	1_2	0.47	0.452	-0.823
59	kmeans	tfidf	title_abstract	1_2	0.951	0.947	-0.823
60	hdbscan	tfidf	title_abstract	1_3	0.492	0.475	-0.382
61	kmeans	tfidf	title_abstract	1_3	0.941	0.936	-0.382
62	hdbscan	tfidf	title_abstract	1_4	0.492	0.475	-0.276
63	kmeans	tfidf	title_abstract	1_4	0.941	0.936	-0.276
64	hdbscan	lda	title_abstract	1_1	0.106	0.059	3.228
65	kmeans	lda	title_abstract	1_1	0.22	0.147	3.228
66	hdbscan	lda	title_abstract	1_2	0.105	0.041	3.701
67	kmeans	lda	title_abstract	1_2	0.197	0.119	3.701
68	hdbscan	lda	title_abstract	1_3	0.083	0.035	3.328
69	kmeans	lda	title_abstract	1_3	0.211	0.137	3.328
70	hdbscan	lda	title_abstract	1_4	0.097	0.049	6.23
71	kmeans	lda	title_abstract	1_4	0.303	0.228	6.23
72	hdbscan	lsa	title_NE	1_1	0.967	0.95	1.58
73	kmeans	lsa	title_NE	1_1	0.977	0.975	1.58
74	hdbscan	lsa	title_NE	1_2	1.0	1.0	0.43
75	kmeans	lsa	title_NE	1_2	1.0	1.0	0.43
76	hdbscan	lsa	title_NE	1_3	0.978	0.976	-0.371
77	kmeans	lsa	title_NE	1_3	1.0	1.0	-0.371
78	hdbscan	lsa	title_NE	1_4	1.0	1.0	-0.739
79	kmeans	lsa	title_NE	1_4	1.0	1.0	-0.739
80	hdbscan	tfidf	title_NE	1_1	0.941	0.877	8.902
81	kmeans	tfidf	title_NE	1_1	1.0	1.0	8.902
82	hdbscan	tfidf	title_NE	1_2	0.883	0.816	9.139
83	kmeans	tfidf	title_NE	1_2	1.0	1.0	9.139
84	hdbscan	tfidf	title_NE	1_3	0.894	0.886	8.223
85	kmeans	tfidf	title_NE	1_3	1.0	1.0	8.223
86	hdbscan	tfidf	title_NE	1_4	0.894	0.886	7.49
87	kmeans	tfidf	title_NE	1_4	1.0	1.0	7.49
88	hdbscan	lda	title_NE	1_1	0.647	0.605	17.795
89	kmeans	lda	title_NE	1_1	0.812	0.768	17.795
90	hdbscan	lda	title_NE	1_2	0.537	0.467	16.599
91	kmeans	lda	title_NE	1_2	0.667	0.615	16.599
92	hdbscan	lda	title_NE	1_3	0.419	0.378	17.107
93	kmeans	lda	title_NE	1_3	0.728	0.697	17.107
94	hdbscan	lda	title_NE	1_4	0.59	0.561	18.407
95	kmeans	lda	title_NE	1_4	0.746	0.713	18.407
96	hdbscan	lsa	title_abstract_NE	1_1	0.909	0.873	-7.914
97	kmeans	lsa	title_abstract_NE	1_1	0.931	0.92	-7.914
98	hdbscan	lsa	title_abstract_NE	1_2	1.0	0.98	-7.281
99	kmeans	lsa	title_abstract_NE	1_2	0.941	0.908	-7.281
100	hdbscan	lsa	title_abstract_NE	1_3	1.0	0.98	-7.038
101	kmeans	lsa	title_abstract_NE	1_3	0.941	0.872	-7.038
102	hdbscan	lsa	title_abstract_NE	1_4	1.0	0.98	-7.047
103	kmeans	lsa	title_abstract_NE	1_4	0.941	0.872	-7.047
104	hdbscan	tfidf	title_abstract_NE	1_1	0.393	0.373	-0.341
105	kmeans	tfidf	title_abstract_NE	1_1	1.0	1.0	-0.341
106	hdbscan	tfidf	title_abstract_NE	1_2	0.539	0.515	0.504
107	kmeans	tfidf	title_abstract_NE	1_2	1.0	1.0	0.504
108	hdbscan	tfidf	title_abstract_NE	1_3	0.58	0.558	1.326
109	kmeans	tfidf	title_abstract_NE	1_3	0.899	0.863	1.326
110	hdbscan	tfidf	title_abstract_NE	1_4	0.479	0.461	1.244
111	kmeans	tfidf	title_abstract_NE	1_4	0.951	0.947	1.244
112	hdbscan	lda	title_abstract_NE	1_1	0.072	0.04	3.474
113	kmeans	lda	title_abstract_NE	1_1	0.155	0.076	3.474
114	hdbscan	lda	title_abstract_NE	1_2	0.074	0.008	3.438
115	kmeans	lda	title_abstract_NE	1_2	0.176	0.097	3.438
116	hdbscan	lda	title_abstract_NE	1_3	0.131	0.069	5.754
117	kmeans	lda	title_abstract_NE	1_3	0.339	0.271	5.754
118	hdbscan	lda	title_abstract_NE	1_4	0.047	0.015	4.359
119	kmeans	lda	title_abstract_NE	1_4	0.348	0.281	4.359
